    472 [2022-05-30 17:05:08]  83Bytes	a8-7e-ea-e9-35-63	24-31-54-62-92-32		ipv4				192.168.43.233		192.168.43.1 		61741	 53  		DNS请求 Host Address  查询stats.g.doubleclick.net的地址
    489 [2022-05-30 17:05:08]  83Bytes	a8-7e-ea-e9-35-63	24-31-54-62-92-32		ipv4				192.168.43.233		192.168.43.1 		61528	 53  		DNS请求 Host Address  查询stats.g.doubleclick.net的地址
    490 [2022-05-30 17:05:08]  83Bytes	a8-7e-ea-e9-35-63	24-31-54-62-92-32		ipv4				192.168.43.233		192.168.43.1 		56767	 53  		DNS请求 null  查询stats.g.doubleclick.net的地址
    500 [2022-05-30 17:05:08]  78Bytes	a8-7e-ea-e9-35-63	24-31-54-62-92-32		ipv4				192.168.43.233		192.168.43.1 		49360	 53  		DNS请求 Host Address  查询boss.cnwangjie.com的地址
    506 [2022-05-30 17:05:08]  78Bytes	a8-7e-ea-e9-35-63	24-31-54-62-92-32		ipv4				192.168.43.233		192.168.43.1 		51812	 53  		DNS请求 null  查询boss.cnwangjie.com的地址
    543 [2022-05-30 17:05:08]  120Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 56767  		DNS响应 CNAME 域名stats.g.doubleclick.net的CNAME是stats.l.doubleclick.net
    554 [2022-05-30 17:05:08]  82Bytes	a8-7e-ea-e9-35-63	24-31-54-62-92-32		ipv4				192.168.43.233		192.168.43.1 		51664	 53  		DNS请求 Host Address  查询hectorstatic.baidu.com的地址
    560 [2022-05-30 17:05:08]  82Bytes	a8-7e-ea-e9-35-63	24-31-54-62-92-32		ipv4				192.168.43.233		192.168.43.1 		53937	 53  		DNS请求 null  查询hectorstatic.baidu.com的地址
    577 [2022-05-30 17:05:08]  126Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 50038  		DNS响应 CNAME 域名dss0.bdstatic.com的CNAME是sslbaiduv6.jomodns.com
    577 [2022-05-30 17:05:08]  126Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 50038  		DNS响应 Host Address  域名sslbaiduv6.jomodns.com的IP地址是36.103.236.33
    579 [2022-05-30 17:05:08]  132Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 52971  		DNS响应 CNAME 域名sp0.baidu.com的CNAME是www.a.shifen.com
    579 [2022-05-30 17:05:08]  132Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 52971  		DNS响应 Host Address  域名www.a.shifen.com的IP地址是220.181.38.150
    579 [2022-05-30 17:05:08]  132Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 52971  		DNS响应 Host Address  域名www.a.shifen.com的IP地址是220.181.38.149
    584 [2022-05-30 17:05:08]  132Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 59781  		DNS响应 CNAME 域名sp2.baidu.com的CNAME是www.a.shifen.com
    584 [2022-05-30 17:05:08]  132Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 59781  		DNS响应 Host Address  域名www.a.shifen.com的IP地址是220.181.38.149
    584 [2022-05-30 17:05:08]  132Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 59781  		DNS响应 Host Address  域名www.a.shifen.com的IP地址是220.181.38.150
    585 [2022-05-30 17:05:08]  126Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 53112  		DNS响应 CNAME 域名ss1.bdstatic.com的CNAME是sslbdstatic.jomodns.com
    585 [2022-05-30 17:05:08]  126Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 53112  		DNS响应 Host Address  域名sslbdstatic.jomodns.com的IP地址是180.97.198.32
    586 [2022-05-30 17:05:08]  126Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 51813  		DNS响应 CNAME 域名dss1.bdstatic.com的CNAME是sslbaiduv6.jomodns.com
    586 [2022-05-30 17:05:08]  126Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 51813  		DNS响应 Host Address  域名sslbaiduv6.jomodns.com的IP地址是36.103.236.33
    587 [2022-05-30 17:05:08]  138Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 54632  		DNS响应 CNAME 域名dss0.bdstatic.com的CNAME是sslbaiduv6.jomodns.com
    588 [2022-05-30 17:05:08]  138Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 63715  		DNS响应 CNAME 域名dss1.bdstatic.com的CNAME是sslbaiduv6.jomodns.com
    589 [2022-05-30 17:05:08]  100Bytes	24-31-54-62-92-32	a8-7e-ea-e9-35-63		ipv4				192.168.43.1		192.168.43.233 		   53	 50961  		DNS响应 CNAME 域名sp0.baidu.com的CNAME是www.a.shifen.com
